City;PercBlack;PercHisp;PercAsian;MedianAge;Unemployment;;City;PercBlack;PercHisp;PercAsian;MedianAge;Unemployment;Dist to 1;Dist to 2;Dist to 3;min dist;Assignment;;Cluster;PercBlack;PercHisp;PercAsian;MedianAge;Unemployment
Minneapolis;0,26335355;0,219951736;0,4266083;0,524709685;0,223851308;;Minneapolis;-0,633040647;-0,772356227;-0,185015855;0,061977651;-0,759250678;1,526023376;21,81946085;4,798406449;1,526023376;1;;;;;;;
Nashville;0,470049627;0,202226698;0,323839418;0,71502613;0,06541561;;Nashville;-0,075145113;-0,83369408;-0,456989162;0,568128465;-1,510832158;2,352571029;23,70965323;8,45908999;2,352571029;1;;;;;;;
New Orleans;0,982164038;0,257949304;0,357058903;0,524709685;0,496940462;;New Orleans;2,10064747;-0,649680522;-0,366331393;0,061977651;-0,007669199;2,867692626;33,94587469;10,48336995;2,867692626;1;;;;;;;
NY;0,602410826;0,718056122;0,534647334;0,858651236;0,932607186;;NY;0,259592208;0,577076533;0,086957452;1,07427928;1,495493761;5,084297617;23,52940953;4,468505801;4,468505801;3;;;;;;;
Oakland;0,863555884;0,48552078;0,791667184;0,71502613;0,868579831;;Oakland;1,096435509;-0,036301994;0,812219604;0,568128465;1,119703021;3,69260539;20,733869;6,107749721;3,69260539;1;;;;;;;
Oklahoma City;0,320725154;0,278151155;0,357058903;0,524709685;0,350689384;;Oklahoma City;-0,465671986;-0,588342669;-0,366331393;0,061977651;-0,383459939;0,867613686;23,51021188;3,586994528;0,867613686;1;;;;;;;
Omaha;0,26335355;0,238536425;0,323839418;0,524709685;0,223851308;;Omaha;-0,633040647;-0,711018374;-0,456989162;0,061977651;-0,759250678;1,547875197;24,05915677;4,772079782;1,547875197;1;;;;;;;
Philadelphia;0,808744023;0,299095122;0,391399378;0,71502613;0,771535227;;Philadelphia;0,873277295;-0,527004816;-0,275673624;0,568128465;0,743912281;1,162869595;26,46794818;5,753581902;1,162869595;1;;;;;;;
Phoenix;0,14021429;0,629951585;0,357058903;0,328458696;0,128178982;;Phoenix;-1,079357074;0,331725122;-0,366331393;-0,444173164;-1,135041418;4,527274509;25,73239933;3,138056763;3,138056763;3;;;;;;;
Pittsburgh;0,536739785;0,202226698;0,357058903;0,942995798;0,496940462;;Pittsburgh;0,092223547;-0,83369408;-0,366331393;1,580430094;-0,007669199;2,168711203;21,01865366;8,270066232;2,168711203;1;;;;;;;
Portland;0,180887408;0,238536425;0,462412355;0,942995798;0,496940462;;Portland;-0,911988414;-0,711018374;-0,094358086;1,580430094;-0,007669199;3,811816453;17,2048885;7,368721518;3,811816453;1;;;;;;;
Sacramento;0,301022646;0,534415328;0,791667184;0,524709685;0,643608695;;Sacramento;-0,52146154;0,086373711;0,812219604;0,061977651;0,368121541;2,799095979;15,88464494;1,753312013;1,753312013;3;;;;;;;
St. Louis;0,90651465;0,202226698;0,323839418;0,71502613;0,643608695;;St. Louis;1,319593722;-0,83369408;-0,456989162;0,568128465;0,368121541;1,316307814;29,2763297;8,283946429;1,316307814;1;;;;;;;
San Antonio;0,166577635;0,994455599;0,323839418;0,170973829;0,223851308;;San Antonio;-0,967777967;2,53988782;-0,456989162;-0,950323978;-0,759250678;13,59298118;36,78578835;4,189827669;4,189827669;3;;;;;;;
San Diego;0,195943896;0,652863515;0,705486406;0,328458696;0,643608695;;San Diego;-0,85619886;0,393062975;0,540246297;-0,444173164;0,368121541;3,93126037;20,071707;0,749443565;0,749443565;3;;;;;;;
San Francisco;0,228250811;0,48552078;0,981302643;0,981536983;0,350689384;;San Francisco;-0,744619753;-0,036301994;2,08142837;2,086580909;-0,383459939;10,87290543;3,674330147;12,29350299;3,674330147;2;;;;;;;
San Jose;0,14021429;0,776698371;0,897155439;0,170973829;0,643608695;;San Jose;-1,079357074;0,761090091;1,265508449;-0,950323978;0,368121541;7,989698815;19,18759456;2,123980098;2,123980098;3;;;;;;;
Seattle;0,211736845;0,257949304;0,705486406;0,942995798;0,223851308;;Seattle;-0,800409307;-0,649680522;0,540246297;1,580430094;-0,759250678;4,481457776;11,97747358;8,454650838;4,481457776;1;;;;;;;
Toledo;0,404191043;0,257949304;0,323839418;0,524709685;0,350689384;;Toledo;-0,242513773;-0,649680522;-0,456989162;0,061977651;-0,383459939;0,55038775;24,68208365;3,964861199;0,55038775;1;;;;;;;
Tucson;0,128156944;0,811588673;0,357058903;0,328458696;0,06541561;;Tucson;-1,135146627;0,883765796;-0,366331393;-0,444173164;-1,510832158;6,938561486;27,10740771;3,995578976;3,995578976;3;;;;;;;
Tulsa;0,281884923;0,238536425;0,323839418;0,71502613;0,128178982;;Tulsa;-0,577251093;-0,711018374;-0,456989162;0,568128465;-1,135041418;2,18049212;22,35393593;6,51025244;2,18049212;1;;;;;;;
Virginia Beach;0,281884923;0,238536425;0,4266083;0,072630706;0,350689384;;Virginia Beach;-0,577251093;-0,711018374;-0,185015855;-1,456474793;-0,383459939;3,716724543;30,75157855;4,669419107;3,716724543;1;;;;;;;
